CPU: ID 0x306a9, Processor Type 0x0, Family 0x6, Model 0x3a, Stepping 0x9
Northbridge: 8086:0154 (3rd generation (Ivy Bridge family) Core Processor (Mobile))
Southbridge: 8086:1e57 (HM77)
IGD: 8086:0166 (Intel(R) HD 4000 Graphics)

============= GPIOS =============

GPIOBASE = 0x0500 (IO)

gpiobase+0x0000: 0xbdebfdff (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x04805c00 (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0xaf166eff (GP_IO_SEL)
gpiobase+0x0004: 0xeeff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0x41e90000 (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0xdf9a6fb7 (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0xdd646eb7 (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00000000 (GPO_BLINK)
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DEFAULT
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DIFF
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN)
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x000040b2 (GPI_INV)
gpiobase+0x002c: 0x00000000 (GPI_INV) DEFAULT
gpiobase+0x002c: 0x000040b2 (GPI_INV) DIFF
gpiobase+0x0030: 0x13ff80fe (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300fe (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0x11fc8000 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x1f04ffe6 (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x00530012 (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xbead9fc6 (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x5a079fc1 (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x000006ff (GPIO_USE_SEL3)
gpiobase+0x0040: 0x00000030 (GPIO_USE_SEL3) DEFAULT
gpiobase+0x0040: 0x000006cf (GPIO_USE_SEL3) DIFF
gpiobase+0x0044: 0x00000ff0 (GP_IO_SEL3)
gpiobase+0x0048: 0x00000ff0 (GP_LVL3)
gpiobase+0x0048: 0x000000c0 (GP_LVL3) DEFAULT
gpiobase+0x0048: 0x00000f30 (GP_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x00008800 (GP_RST_SEL1)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DEFAULT
gpiobase+0x0060: 0x01008800 (GP_RST_SEL1) DIFF
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3)
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
0b30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ba0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0be0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bf0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c20: 00 00 00 00 20 10 84 a0 91 a0 03 00 00 00 00 00
0c30: 00 00 00 00 00 00 00 00 02 04 00 10 00 00 00 00
0c40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ca0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cc0: 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00
0cd0: 5e 01 00 00 5e 01 00 50 00 00 00 00 00 00 00 00
0ce0: 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cf0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d10: 00 00 ff ff 10 00 3e 00 00 00 00 00 40 00 00 00
0d20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d30: 00 00 00 00 5f 00 00 00 00 00 00 00 00 00 00 00
0d40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d60: 00 00 00 00 00 00 00 00 00 00 00 00 e0 04 02 40
0d70: f5 ab 00 80 ec 46 01 00 ff 05 00 00 0f 00 02 00
0d80: dd 2b 7b d0 3b 07 ff 00 00 00 00 00 00 00 00 00
0d90: 00 00 00 00 19 00 01 00 00 00 00 00 00 00 00 00
0da0: 03 33 03 33 03 33 03 33 03 33 03 33 03 33 03 33
0db0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0dc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0dd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0de0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0df0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ea0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0eb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ec0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ed0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ee0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ef0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0fa0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0fb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0fc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0fd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0fe0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ff0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

PCIe 00:14.0 extended config space:
0000: 86 80 31 1e 06 04 90 02 04 30 03 0c 00 00 00 00
0010: 04 00 b0 c1 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 86 80 70 72
0030: 00 00 00 00 70 00 00 00 00 00 00 00 00 01 00 00
0040: fd 07 0e 80 39 c0 03 80 00 00 00 00 00 00 00 00
0050: 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0060: 30 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: 01 80 c2 c1 08 00 00 00 00 00 00 00 00 00 00 00
0080: 05 00 87 00 00 60 e0 fe 00 00 00 00 22 00 00 00
0090: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00b0: 8f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00c0: 01 02 04 08 00 00 00 00 00 00 00 00 00 00 00 00
00d0: 0f 00 00 00 0f 00 00 00 0f 00 00 00 0f 00 00 00
00e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00f0: 00 00 00 00 00 00 00 00 87 0f 04 08 00 00 00 00
0100: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0110: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0120: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0130: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0140: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0150: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0160: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0170: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0180: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0190: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0200: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0210: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0220: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0230: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0240: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0250: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0260: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0270: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0280: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0290: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
02a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
02b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
02c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
02d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
02e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
02f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0300: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0310: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0320: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0330: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0340: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0350: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0360: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0370: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0380: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0390: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
03a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
03b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
03c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
03d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
03e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
03f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0400: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0410: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0420: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0430: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0440: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0450: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0460: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0470: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0480: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0490: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
04a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
04b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
04c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
04d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
04e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
04f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0500: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0510: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0520: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0530: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0540: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0550: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0560: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0570: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0580: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0590: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
05a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
05b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
05c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
05d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
05e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
05f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0600: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0610: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0620: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0630: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0640: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0650: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0660: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0670: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0680: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0690: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
06a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
06b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
06c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
06d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
06e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
06f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0700: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0710: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0720: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0730: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0740: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0750: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0760: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0770: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0780: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0790: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
07a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
07b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
07c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
07d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
07e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
07f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0800: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0810: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0820: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0830: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0840: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0850: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0860: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0870: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0880: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0890: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
08a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
08b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
08c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
08d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
08e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
08f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0900: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0910: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0920: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0930: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0940: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0950: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0960: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0970: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0980: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0990: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
09a0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
09b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
09c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
09d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
09e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
09f0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0a90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0aa0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ab0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ac0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ad0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ae0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0af0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0b90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ba0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0be0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0bf0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0c90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ca0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ce0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0cf0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0d90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0da0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0db0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0dc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0dd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0de0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0df0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e80: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0e90: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ea0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0eb0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ec0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ed0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ee0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0ef0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f00: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0f70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
